Id,Name,RatingDist1,pagesNumber,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating,RatingDist2,RatingDist5,ISBN,RatingDist3
291,The Broken Wings,0.28125,132,4.006944444,total:16106,3,3,Citadel,528,2003,eng,Kahlil Gibran,3.92,0.8,4.058333333,806501901,2.663194444
292,Sand and Foam,0.096527778,100,1.495138889,total:5413,14,6,Knopf,218,2011,eng,Kahlil Gibran,4.08,0.246527778,1.711111111,067943920X,0.834722222
295,Treasure Island,4.781944444,311,4:140643,total:380722,15,9,Kingfisher,6859,2001,eng,Robert Louis Stevenson,3.83,2:23087,5:106542,753453800,3:103624
302,Treasure Island (Great Illustrated Classics),01:37,232,0.935416667,total:3433,31,1,Abdo Publishing Company,16,2006,eng,Deidre S. Laiken,4.05,0.186805556,1.15,1577658051,0.669444444
303,Cliffs Notes on Stevenson's Treasure Island and Kidnapped,01:00,80,04:02,total:5,24,7,Cliffs Notes,0,1974,,O.L. Mishk,4.6,02:00,05:03,822013061,03:00
305,George Eliot and Judaism: An Attempt to Appreciate 'Daniel Deronda',01:00,100,04:00,total:3,1,5,University Press of the Pacific,0,2005,,David Kaufmann,4.33,02:00,05:02,1410223221,03:01
306,Daniel Deronda Notebooks,01:01,524,04:04,total:20,28,12,Cambridge University Press,0,1996,,George Eliot,3.7,02:04,05:08,521460646,03:03
309,"Daniel Deronda, V1",01:00,384,04:14,total:36,21,7,IndyPublish.com,2,2003,,George Eliot,4.31,02:01,05:17,1404384618,03:04
312,Flight: 100 Years of Aviation,01:02,440,0.215972222,total:191,16,9,DK Publishing (Dorling Kindersley),2,2002,,R.G. Grant,4.31,02:04,0.273611111,789489104,03:20
313,100 Years of Lynchings,01:00,270,04:18,total:106,22,11,Black Classic Press,4,1996,eng,Ralph Ginzburg,4.61,02:01,0.261805556,933121180,03:10
314,If You Lived 100 Years Ago,01:02,80,04:50,total:134,1,9,Scholastic Paperbacks,20,1999,,Ann McGovern,3.91,02:08,05:42,590960016,03:32
315,Camp Cooking: 100 Years The National Museum of Forest Service History,01:00,192,04:13,total:43,23,12,Gibbs Smith,1,2004,,National Museum of Forest Service History,4.42,02:02,05:25,1586857614,03:03
317,El Siglo del Espiritu Santo,01:01,559,04:21,total:61,1,7,Vida Publishers,0,2006,,Vinson Synan,3.79,02:05,05:17,9875570923,03:17
318,The Next 100 Years: Predictions to the Nations and the Church of the 21st Century,01:00,133,04:04,total:10,1,1,Arrow Publications,2,2004,,Dennis Cramer,4,02:00,05:03,1886296316,03:03
319,Disney,01:00,224,04:34,total:92,1,2,Disney Editions,1,2003,,Dave   Smith,3.98,02:02,05:29,786853808,03:27
323,Masterwork Studies Series: 100 Years of Solitude,01:04,176,04:56,total:201,1,5,Twayne Publishers,14,1991,,Regina Janes,4.05,02:19,0.271527778,805779892,03:31
324,Cien años de soledad,1:31197,448,4:191401,total:712566,1,1,French & European,7,1990,spa,Gabriel García Márquez,4.07,2:44384,5:339759,785950109,3:105825
327,Why Zebras Don't Get Ulcers,0.096527778,560,2.223611111,total:8126,15,9,Holt Paperbacks,619,2004,,Robert M. Sapolsky,4.17,0.286805556,2.630555556,805073698,1.030555556
328,Chess for Zebras,01:02,255,04:25,total:81,1,12,Gambit Publications,8,2003,,Jonathan Rowson,4.4,02:00,05:46,1901983854,03:08
329,What If the Zebras Lost Their Stripes?,01:02,32,04:30,total:76,1,9,Paulist Press,14,1998,,John Reitano,4.14,02:03,05:32,809166496,03:09
330,On Beyond Zebra!,01:37,64,0.78125,total:2968,12,9,Random House Books for Young Readers,165,1955,eng,Dr. Seuss,4.04,0.197916667,1.052083333,394800842,0.5875
331,Ziggy the Zebra,01:00,14,04:05,total:14,1,2,Piggy Toes Press,0,2000,,Libby Ellis,4.07,02:00,05:05,1581171048,03:04
332,The Wedding Clause,01:02,256,04:53,total:173,7,6,Zebra,14,2005,eng,Debbie Raleigh,3.61,02:16,05:36,821778250,0.170833333
333,The Zebra Wall,01:10,147,0.213194444,total:227,15,2,Greenwillow Books,24,2005,eng,Kevin Henkes,3.44,02:35,05:44,60733039,0.174305556
334,"""A"" Is for Zebra",01:01,32,04:22,total:60,28,4,Sterling,21,2006,,Mark Shulman,3.78,02:03,05:15,1402734948,03:19
335,Lots and Lots of Zebra Stripes,01:00,32,04:12,total:38,1,3,Boyds Mills Press,7,2002,,Stephen R. Swinburne,3.74,02:04,05:10,1563979802,03:12
337,El perfume: Historia de un asesino,5.134722222,239,4:105950,total:300934,1,6,Booket,262,2002,spa,Patrick Süskind,4.02,2:16737,5:116750,8432216062,3:54163
339,"Perfumes, Splashes  Colognes: Discovering and Crafting Your Personal Fragrances",01:01,176,04:20,total:62,11,1,"Storey Publishing, LLC",2,1997,,Nancy M. Booth,3.65,02:04,05:13,882669850,03:24
340,Wonderful World of Collecting Perfume Bottles: Identification & Value Guide,01:00,176,04:03,total:11,1,4,Collector Books,0,2006,,Jane Flanagan,4.09,02:01,05:05,1574325027,03:02
344,Scents & Sensibilities: Creating Solid Perfumes for Well-Being,01:01,96,04:26,total:71,7,6,Gibbs Smith,1,2005,,Mandy Aftel,3.85,02:04,05:20,158685738X,03:20
348,The Door Into Summer,0.155555556,304,5.845833333,total:21203,17,6,Del Rey,654,1997,eng,Robert A. Heinlein,4.01,0.684027778,5.233333333,345413997,3.430555556
350,Stranger in a Strange Land,1:11617,528,4:81317,total:266867,1,10,Ace,6303,1991,eng,Robert A. Heinlein,3.92,2:18857,5:102853,441788386,3:52223
353,Time Enough for Love,0.559027778,589,7.071527778,total:30796,15,8,Ace,642,1988,eng,Robert A. Heinlein,3.97,1.44375,5:11624,,4.65625
354,To Sail Beyond the Sunset,0.222222222,434,2.634722222,total:10560,1,6,Ace Books,194,1988,en-US,Robert A. Heinlein,3.87,0.584027778,2.60625,441748600,1.911111111
355,Job: A Comedy of Justice,0.303472222,439,3.959722222,total:16459,12,10,Del Rey,440,1985,en-US,Robert A. Heinlein,3.78,1.068055556,3.53125,345316509,3.192361111
356,"Time for the Stars (Heinlein's Juveniles, #10)",01:31,256,2.384027778,total:8040,8,8,Tor Books,202,2006,eng,Robert A. Heinlein,3.97,0.264583333,1.915277778,765314932,1.58125
357,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",0.386805556,307,4:28327,total:74518,15,2,Pocket Books,1415,1991,eng,Douglas Adams,4.06,2.0625,5:27164,671742515,3:15680
359,"The Salmon of Doubt (Dirk Gently, #3)",0.1875,298,6.827083333,total:25401,26,4,Del Rey,752,2005,eng,Douglas Adams,3.93,0.979861111,5.654861111,345455290,4.615277778
362,Wish You Were Here: The Official Biography of Douglas Adams,01:38,368,0.80625,total:2777,27,12,Del Rey,49,2005,eng,Nick  Webb,4.14,0.151388889,1.046527778,345476514,0.48125
365,"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",0.869444444,306,4:42964,total:113878,1,1,Pocket Books,2457,2002,eng,Douglas Adams,3.98,3.897222222,5:38322,,3:25908
366,Velvet: A Novel of Suspense,01:01,221,04:00,total:7,1,6,Foul Play Press,0,1993,,Alec Kalla,2.57,02:03,05:01,881502642,03:02
367,Douglas Adams's Starship Titanic,0.270833333,256,2.532638889,total:10960,27,10,Ballantine Books,85,1998,eng,Terry Jones,3.6,0.897916667,1.958333333,345368436,2.576388889
372,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,0.1875,7,6.827083333,total:25401,1,1,Phoenix Audio,5,2006,,Douglas Adams,3.93,0.979861111,5.654861111,159777006X,4.615277778
374,Salmon Doubts,01:05,128,04:36,total:154,20,7,Alternative Comics,29,2004,,Adam Sacks,3.25,02:31,05:22,1891867717,0.166666667
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,0.1875,336,6.827083333,total:25401,1,7,Turtleback Books,0,2003,eng,Douglas Adams,3.93,0.979861111,5.654861111,1417622857,4.615277778
379,A Guide for Using the Phantom Tollbooth in the Classroom,01:00,48,04:04,total:16,1,3,Teacher Created Resources,0,1994,,Kathleen L. Bulloch,4.25,02:00,05:08,1557344310,03:04
380,A Colorful Symphony: Full Score,01:00,68,04:00,total:1,1,5,"G. Schirmer, Inc.",1,1997,,Robert Xavier Rodríguez,5,02:00,05:01,793565561,03:00
382,The Phantom Tollbooth: A Children's Play in Two Acts,01:02,72,04:32,total:100,12,1,"Samuel French, Inc.",14,2011,eng,Susan Nanus,4.11,02:07,05:45,573650969,03:14
385,On Bullshit,0.26875,67,2.485416667,total:10264,30,1,Princeton University Press,1005,2005,eng,Harry G. Frankfurt,3.57,0.889583333,1.725,691122946,2.384027778
386,Another Bullshit Night in Suck City,0.215972222,347,2.756944444,total:10051,12,9,W. W. Norton & Company,909,2005,eng,Nick Flynn,3.79,0.636805556,2.10625,393329402,1.888888889
387,100 Bullshit Jobs...And How to Get Them,01:11,320,04:30,total:171,2,5,Harper Business,23,2006,,Stanley Bing,3.19,02:35,05:30,60734795,0.170138889
388,The Business of Bullshit,01:00,193,04:02,total:17,30,5,Plume,3,2006,,Graham Edmonds,3.47,02:02,05:04,452287332,03:09
389,Bullshit Artist: The 9/11 Leadership Myth,01:00,326,04:02,total:6,28,3,Booksurge Publishing,0,2006,,Ron Schalow,4.67,02:00,05:04,141962461X,03:00
390,Your Call Is Important to Us: The Truth About Bullshit,01:21,272,0.24375,total:324,23,5,Broadway Books,32,2006,,Laura Penny,3.42,02:48,05:58,1400081041,0.184722222
392,"Bullets, Badges, and Bullshit",01:00,444,04:00,total:2,6,3,PublishAmerica,0,2006,,Phil T. O'Brien,5,02:00,05:02,1424124255,03:00
393,"Hello, Lied the Agent: And Other Bullshit You Hear as a Hollywood TV Writer",01:03,342,04:15,total:56,1,9,Phoenix Books and Audio,8,2006,,Ian Gurvitz,3.34,02:06,05:08,1597775320,03:24
394,Lincoln at Gettysburg: The Words That Remade America,0.131944444,317,1.777083333,total:7245,12,6,Simon & Schuster,15,1993,en-US,Garry Wills,4.14,0.310416667,2.471527778,671867423,0.965277778
395,Lincoln's Gettysburg Address in Translation,01:46,36,1.148611111,total:6532,31,12,Library of Congress,0,1972,,Abraham Lincoln,4.53,0.147222222,3.249305556,844400181,0.542361111
397,The Gettysburg Address,01:46,32,1.148611111,total:6532,2,2,HMH Books for Young Readers,76,1998,eng,Abraham Lincoln,4.53,0.147222222,3.249305556,395883970,0.542361111
398,The Battle of Gettysburg and Lincoln's Gettyburg Address,01:00,48,04:01,total:7,1,5,Enslow Elementary,2,2004,,Carin T. Ford,4.14,02:01,05:04,766022536,03:01
399,Underworld,0.691666667,827,6.078472222,total:25858,9,7,Scribner,177,1998,eng,Don DeLillo,3.92,1.419444444,6.852083333,684848155,3.540277778
400,Libra,0.173611111,480,4.063194444,total:13598,1,5,Penguin,572,1991,eng,Don DeLillo,3.99,0.519444444,3.288888889,140156046,2.022916667
403,Americana,0.158333333,377,1.286111111,total:4737,6,7,Penguin Books,55,1989,eng,Don DeLillo,3.43,0.501388889,0.677083333,140119485,1.291666667
404,Running Dog,01:37,256,0.572222222,total:1679,17,7,Vintage Contemporaries,76,1989,eng,Don DeLillo,3.43,0.202777778,0.342361111,679722947,0.60625
405,Ratner's Star,0.094444444,448,0.54375,total:1849,17,7,Vintage,17,1989,,Don DeLillo,3.48,0.257638889,0.469444444,679722920,0.54375
406,Cosmopolis,0.664583333,224,3.011805556,total:14391,6,4,Scribner,41,2004,eng,Don DeLillo,3.22,1.850694444,1.403472222,743244257,3.688194444
407,Great Jones Street,0.093055556,272,0.864583333,total:2864,1,1,Penguin Books,149,1994,eng,Don DeLillo,3.48,0.315277778,0.504861111,140179178,0.836111111
408,The Names,0.118055556,339,1.039583333,total:3614,17,7,Vintage,213,1989,eng,Don DeLillo,3.64,0.334722222,0.776388889,679722955,0.865972222
409,Against the Day,0.140972222,1085,1.565972222,total:6265,21,11,Penguin Press,590,2006,eng,Thomas Pynchon,4.13,0.309027778,2.181944444,159420120X,0.777777778
410,V.,0.397916667,547,4.950694444,total:18489,5,7,Harper Perennial Modern Classics,179,2005,eng,Thomas Pynchon,3.96,0.8125,4.71875,60930217,2.584722222
411,The Crying of Lot 49,2.006944444,152,4:23047,total:65731,1,4,Harper Perennial,231,1999,eng,Thomas Pynchon,3.69,4.49375,5:17146,60931671,3:16357
412,Gravity's Rainbow,1.341666667,784,6.454861111,total:34208,1,1,Penguin Books,213,2000,eng,Thomas Pynchon,4,1.8,5:15768,140283382,3.625694444
413,Mason & Dixon,0.215277778,773,2.115277778,total:8963,3,1,Picador USA,609,2004,eng,Thomas Pynchon,4.07,0.436111111,2.922916667,312423209,1.159722222
414,Vineland,0.209027778,385,2.616666667,total:9221,1,9,Penguin Classics,69,1997,en-US,Thomas Pynchon,3.69,0.620138889,1.625,141180633,1.957638889
416,Slow Learner: Early Stories,0.083333333,193,1.146527778,total:4043,30,4,Back Bay Books,34,1985,eng,Thomas Pynchon,3.5,0.359027778,0.598611111,316724432,1.245138889
417,Thomas Pynchon (Bloom's Modern Critical Views),01:00,322,04:07,total:25,23,7,Chelsea House Publications,1,2003,,Harold Bloom,3.6,02:00,05:04,791074455,03:14
418,Been Down So Long It Looks Like Up To Me,0.092361111,352,0.865277778,total:2776,29,8,Penguin Classics,220,1996,eng,Richard Fariña,3.79,0.228472222,0.747916667,140189300,0.61875
419,Vintage Didion,01:02,199,0.3,total:439,6,1,Vintage Books,25,2004,,Joan Didion,4.1,02:13,0.314583333,1400033934,0.179861111
420,The Year of Magical Thinking,2.298611111,227,4:46936,total:131747,4,10,Knopf Publishing Group,337,2005,en-US,Joan Didion,3.89,6.585416667,5:43259,140004314X,3:28939
421,The White Album,0.108333333,222,4.432638889,total:15311,1,10,Farrar Straus Giroux,763,1990,eng,Joan Didion,4.16,0.383333333,4.470833333,374522219,1.8625
422,A Book of Common Prayer,0.0875,272,1.113888889,total:3437,11,4,Vintage International,259,1995,eng,Joan Didion,3.8,0.25625,0.821527778,679754865,0.732638889
423,Where I Was From,01:34,240,1.092361111,total:3354,14,9,Vintage,295,2004,eng,Joan Didion,3.86,0.239583333,0.844444444,679752862,0.7125
424,Slouching Towards Bethlehem,0.293055556,238,4:12452,total:33527,1,10,Farrar Straus Giroux,1876,1990,eng,Joan Didion,4.21,0.788888889,5:14865,374521727,3.480555556
425,Democracy,01:34,234,0.766666667,total:2307,25,4,Vintage International,172,1995,en-US,Joan Didion,3.82,0.185416667,0.638194444,679754857,0.571527778
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,01:04,1122,0.502083333,total:1588,17,10,Everyman's Library,109,2006,eng,Joan Didion,4.5,02:23,0.879861111,307264874,0.202083333
427,Miami,01:18,240,0.506944444,total:1242,29,9,Vintage,96,1998,,Joan Didion,3.7,0.152083333,0.388194444,679781803,0.386111111
428,Play It As It Lays,0.368055556,231,4:10389,total:26972,15,11,"Farrar, Straus and Giroux",1757,2005,eng,Joan Didion,3.88,1.3125,5.750694444,374529949,4.543055556
429,Amazons: An Intimate Memoir by the First Woman Ever to Play in the National Hockey League,01:05,390,04:40,total:129,1,1,Holt McDougal,4,1980,,Cleo Birdwell,3.71,02:16,05:39,30554268,03:29
431,The New York Trilogy,0.935416667,308,4:22194,total:56393,28,3,Penguin Classics,1895,2006,eng,Paul Auster,3.89,2.670833333,5:17093,143039830,3:12093
432,"City of Glass (The New York Trilogy, #1)",0.263194444,203,4.098611111,total:14459,7,4,Penguin Books,748,1987,eng,Paul Auster,3.79,0.850694444,2.818055556,140097317,2.635416667
434,"Ghosts (The New York Trilogy, #2)",0.102083333,96,1.325,total:4495,7,7,Penguin Books,200,1987,eng,Paul Auster,3.64,0.363194444,0.832638889,014009735X,1.123611111
435,"The Locked Room (The New York Trilogy, #3)",01:50,179,1.28125,total:3769,1,11,Sun and Moon Press,167,1986,eng,Paul Auster,3.89,0.223611111,0.919444444,940650762,0.741666667
438,"New York Trilogy: New York Underground, Trapped, Love and Sex",01:00,156,04:00,total:2,20,4,iUniverse,0,2000,,Paul Hallasy,5,02:00,05:02,595002234,03:00
439,"New York Dreams (Virex Trilogy, #3)",01:01,336,04:17,total:41,1,8,Gollancz,1,2004,,Eric Brown,3.8,02:02,05:10,575074949,03:11
444,Pyramids of Montauk: Explorations in Consciousness,01:04,256,04:30,total:81,1,1,Sky Books (NY),2,1995,eng,Peter Moon,3.89,02:04,05:27,963188925,03:16
445,"All My Tomorrows (The Orphan Trains Trilogy, #2)",01:04,352,04:47,total:198,7,6,Multnomah,14,2003,,Al Lacy,3.96,02:17,0.266666667,1590521307,03:46
446,The Brooklyn Follies,0.231944444,306,7.06875,total:22296,17,10,Picador,1161,2006,eng,Paul Auster,3.84,0.91875,3.860416667,312426232,4.028472222
447,Moon Palace,0.328472222,320,5.73125,total:20000,1,4,Penguin Books,511,1990,eng,Paul Auster,3.94,0.840277778,4.64375,140115854,2.970138889
448,A Tomb for Anatole: Poetry,01:03,202,04:38,total:139,17,6,New Directions,15,2005,,Stéphane Mallarmé,4.37,02:01,0.263888889,811215938,03:17
452,The Invention of Solitude: A Memoir,0.157638889,192,3.083333333,total:10856,5,5,Penguin Books,12,1988,,Paul Auster,3.78,0.584027778,2.063888889,140106286,2.275
453,The Music of Chance,0.10625,217,3.018055556,total:9487,1,12,Penguin Books,36,1991,en-US,Paul Auster,3.91,0.404861111,1.990972222,140154078,1.693055556
454,Travels in the Scriptorium,0.363888889,145,1.861111111,total:8808,23,1,Henry Holt & Company,565,2007,eng,Paul Auster,3.23,1.119444444,0.907638889,805081453,2.489583333
455,In the Country of Last Things,0.202083333,188,3.247222222,total:10960,2,5,Penguin Books,52,1988,,Paul Auster,3.87,0.528472222,2.366666667,140097058,1.891666667
456,Leviathan,0.126388889,275,4.592361111,total:14561,1,9,Penguin Books,449,1993,eng,Paul Auster,3.96,0.502083333,3.124305556,140178139,2.391666667
459,The Random House Book of 20th Century French Poetry,01:00,690,04:48,total:170,12,1,Vintage,11,1984,,Paul Auster,4.56,02:00,0.284027778,394717481,03:13
460,Paul Auster's New York - Promo: Mak.of Amer,01:00,97,04:21,total:66,14,9,Henry Holt & Company,2,1997,,Paul Auster,3.89,02:04,05:21,080505667X,03:20
461,The Inner Life of Martin Frost,01:11,40,0.229861111,total:304,1,4,Purdue University Press,8,2006,,Paul Auster,3.33,02:44,05:38,9051705441,0.208333333
462,Disappearances,01:03,96,04:19,total:68,2,5,Harry N. Abrams,1,1989,,Paul Auster,3.4,02:10,05:12,879513411,03:24
463,The Red Notebook: True Stories,01:40,104,1.182638889,total:3788,17,6,New Directions,121,2002,eng,Paul Auster,3.77,0.253472222,0.831944444,811214982,0.918055556
464,Collected Poems,01:16,192,0.23125,total:260,5,1,Harry N. Abrams,3,2004,,Paul Auster,3.58,02:23,05:57,1585674044,0.174305556
465,Paul Auster and Postmodern Quest: On the Road to Nowhere,01:00,221,04:00,total:2,6,11,"Peter Lang Inc., International Academic Publishers",0,2002,,Chippy M.L. Den Irvine,4,02:00,05:01,820461679,03:01
466,Timbuktu / Leviathan / Moon Palace,01:00,1075,04:10,total:22,7,11,Actes Sud,1,2002,fre,Paul Auster,4.32,02:01,05:10,2742741461,03:01
468,An Art of Desire: Reading Paul Auster,01:00,245,04:01,total:5,1,1,Brill/Rodopi,0,1999,,Bernd Herzogenrath,4,02:00,05:02,9042004533,03:02
469,Paul Auster (Bloom's Modern Critical Views),01:00,254,04:06,total:11,18,9,Chelsea House Publications,0,2003,,Harold Bloom,3.82,02:01,05:02,791076628,03:02
470,"The Art of Hunger: Essays, Prefaces, Interviews, The Red Notebook",01:02,368,0.311805556,total:489,1,9,Penguin Books,11,1997,,Paul Auster,3.87,02:23,0.292361111,140267506,0.218055556
471,World that is the Book Paul Auster’s Fiction,00:00,200,00:00,total10,1,11,Liverpool University Press,0,2001,,Aliki Varvogli,3.6,00:00,00:00,853236879,00:00
473,Beyond the Red Notebook,00:00,224,00:00,total10,1,8,University of Pennsylvania Press,0,1995,,Dennis Barone,4,00:00,00:00,812215567,00:00
475,Collapse How Societies Choose to Fail or Succeed,0.75,608,423239,total57246,27,12,Penguin Books Ltd. London,2806,2005,eng,Jared Diamond,3.93,2.06875,517546,143036556,312582
476,The Coming Economic Collapse How You Can Thrive When Oil Costs $200 a Barrel,00:00,211,0.217361111,total257,1,2,Business Plus,26,2006,en-US,Stephen Leeb,3.39,00:00,00:00,446579785,0.197222222
477,Collapse of Complex Societies,00:00,262,0.386111111,total821,29,3,Cambridge University Press,88,1990,eng,Joseph A. Tainter,4.16,00:00,0.445138889,052138673X,0.213194444
478,Bowling Alone The Collapse and Revival of American Community,0.103472222,544,1.614583333,total5202,7,8,Simon  Schuster,518,2001,eng,Robert D. Putnam,3.8,0.311805556,1.10625,743203046,1.101388889
479,The Collapse of Evolution,00:00,224,00:00,total69,1,11,Baker Books,5,1997,,Scott M. Huse,4.1,00:00,00:00,801057744,00:00
480,Collapse of Burning Buildings A Guide to Fireground Safety,00:00,150,00:00,total6,1,1,Fire Engineering Books,0,1988,,Vincent Dunn,4.83,00:00,00:00,878149031,00:00
481,The Collapse of the Common Good How America's Lawsuit Culture Undermines Our Freedom,00:00,272,00:00,total65,29,1,Ballantine Books,4,2002,eng,Philip K. Howard,3.91,00:00,00:00,034543871X,00:00
482,Armageddon Averted The Soviet Collapse 1970-2000,00:00,245,0.360416667,total635,16,11,Oxford University Press USA,54,2003,,Stephen Kotkin,3.73,00:00,0.289583333,195168941,0.2625
484,Reinventing the Enemy's Language Contemporary Native Women's Writings of North America,00:00,576,0.235416667,total298,17,9,W. W. Norton  Company,20,1998,eng,Joy Harjo,4.39,00:00,0.321527778,393318281,00:00
485,The Languages of Native North America,00:00,773,00:00,total34,6,7,Cambridge University Press,6,2001,,Marianne Mithun,4.53,00:00,00:00,052129875X,00:00
487,Searching for Lost City On the Trail of America's Native Languages,00:00,272,00:00,total9,1,11,Lyons Press,1,2003,,Elizabeth Seay,3.89,00:00,00:00,1592281958,00:00
488,Indian Sign Language,00:00,128,00:00,total44,1,6,Dover Publications,2,1969,,William Tomkins,3.95,00:00,00:00,048622029X,00:00
492,The Fantastic Inventions of Nikola Tesla,00:00,351,0.214583333,total241,12,6,Adventures Unlimited Press,21,2014,,Nikola Tesla,4.05,00:00,0.282638889,932813194,00:00
493,My Inventions,0.094444444,88,1.489583333,total5295,17,5,Filiquarian Publishing LLC.,268,2006,eng,Nikola Tesla,4.01,0.255555556,1.538194444,1599869942,0.924305556
494,Wizard The Life and Times of Nikola Tesla Biography of a Genius,00:00,542,1.073611111,total3366,1,2,Citadel,340,2001,eng,Marc J.  Seifer,3.79,0.252083333,0.796527778,806519606,0.759027778
495,Colorado Springs Notes 1899-1900,00:00,439,00:00,total25,1,8,Angriff Press,1,2001,,Brotherhood of Life,3.96,00:00,00:00,913022268,00:00
496,The Lost Journals of Nikola Tesla HAARP - Chemtrails and the Secret of Alternative 4,00:00,155,00:00,total44,2,12,Inner Light - Global Communications,3,2011,,Tim R. Swartz,3.91,00:00,00:00,1892062135,00:00
497,Nikola Tesla A Spark of Genius,00:00,144,00:00,total108,1,10,Lerner Publications,6,1994,eng,Carol Dommermuth-Costa,3.93,00:00,00:00,822549204,00:00
498,Tesla Papers,00:00,100,00:00,total110,1,12,Adventures Unlimited Press,2,2000,eng,Nikola Tesla,4.13,00:00,00:00,932813860,00:00
499,21st Century Mysteries Nikola Tesla Federal Documents and References CD-ROM,00:00,23931,00:00,total2,3,2,Progressive Management,0,2006,,U.S. Government,5,00:00,00:00,1422004848,00:00
500,Problem of Increasing Human Energy,00:00,112,0.220833333,total265,1,4,Kessinger Publishing,13,1996,,Nikola Tesla,4.24,00:00,0.300694444,1564598446,00:00
